Date,Voice,Party,AverageVotes,avg_sentiment,No_News
2024-08-24,MSNBC,Republican,249,0.115295,100
2024-08-25,MSNBC,Democratic,304,0.059226,100
2024-08-25,MSNBC,Republican,234,0.059226,100
2024-08-26,MSNBC,Democratic,302,0.096233,100
2024-08-26,MSNBC,Republican,236,0.096233,100
2024-08-27,MSNBC,Democratic,304,0.030347999999999997,100
2024-08-27,MSNBC,Republican,234,0.030347999999999997,100
2024-08-28,MSNBC,Democratic,308,0.149032,100
2024-08-28,MSNBC,Republican,230,0.149032,100
2024-08-29,MSNBC,Democratic,308,0.100158,100
2024-08-29,MSNBC,Republican,230,0.100158,100
2024-08-30,MSNBC,Democratic,312,-0.23583600000000002,100
2024-08-30,MSNBC,Republican,226,-0.23583600000000002,100
2024-08-31,MSNBC,Democratic,297,0.050749,100
2024-08-31,MSNBC,Republican,241,0.050749,100
2024-09-01,MSNBC,Democratic,305,0.015378000000000001,100
2024-09-01,MSNBC,Republican,233,0.015378000000000001,100
2024-09-02,MSNBC,Democratic,314,0.043531,100
2024-09-02,MSNBC,Republican,224,0.043531,100
2024-09-03,MSNBC,Democratic,316,0.224706,100
2024-09-03,MSNBC,Republican,222,0.224706,100
2024-09-04,MSNBC,Democratic,307,0.065104,100
2024-09-04,MSNBC,Republican,231,0.065104,100
2024-09-05,MSNBC,Democratic,304,0.020077,100
2024-09-05,MSNBC,Republican,234,0.020077,100
2024-09-06,MSNBC,Democratic,308,-0.18604400000000001,100
2024-09-06,MSNBC,Republican,230,-0.18604400000000001,100
2024-09-07,MSNBC,Democratic,306,0.028306999999999995,100
2024-09-07,MSNBC,Republican,232,0.028306999999999995,100
2024-09-08,MSNBC,Democratic,316,0.059847,100
2024-09-08,MSNBC,Republican,222,0.059847,100
2024-09-09,MSNBC,Democratic,303,-0.024671153846153846,104
2024-09-09,MSNBC,Republican,235,-0.024671153846153846,104
2024-09-10,MSNBC,Democratic,300,0.052937,100
2024-09-10,MSNBC,Republican,238,0.052937,100
2024-09-11,MSNBC,Democratic,314,0.249654,100
2024-09-11,MSNBC,Republican,224,0.249654,100
2024-09-12,MSNBC,Democratic,309,0.415852,100
2024-09-12,MSNBC,Republican,229,0.415852,100
2024-09-13,MSNBC,Democratic,305,0.055065,100
