state,state_name_count,feed_date
Delaware,0,2024-08-26
Florida,0,2024-08-26
Georgia,0,2024-08-26
Hawaii,0,2024-08-26
Idaho,0,2024-08-26
Illinois,0,2024-08-26
Indiana,0,2024-08-26
Iowa,1,2024-08-26
Kansas,2,2024-08-26
Kentucky,0,2024-08-26
Louisiana,0,2024-08-26
Maine,0,2024-08-26
Maryland,0,2024-08-26
Massachusetts,0,2024-08-26
Michigan,1,2024-08-26
Minnesota,0,2024-08-26
Mississippi,0,2024-08-26
Missouri,0,2024-08-26
Montana,0,2024-08-26
Nebraska,0,2024-08-26
Nevada,1,2024-08-26
New Hampshire,0,2024-08-26
New Jersey,0,2024-08-26
New Mexico,0,2024-08-26
New York,4,2024-08-26
North Carolina,0,2024-08-26
North Dakota,0,2024-08-26
Ohio,0,2024-08-26
Oklahoma,0,2024-08-26
Oregon,0,2024-08-26
Pennsylvania,4,2024-08-26
Rhode Island,0,2024-08-26
South Carolina,0,2024-08-26
South Dakota,0,2024-08-26
Tennessee,0,2024-08-26
Texas,1,2024-08-26
Utah,0,2024-08-26
Vermont,0,2024-08-26
Virginia,0,2024-08-26
Washington,0,2024-08-26
West Virginia,0,2024-08-26
Wisconsin,0,2024-08-26
Wyoming,0,2024-08-26
DC,0,2024-08-26
Alabama,15,2024-08-18
Alaska,0,2024-08-18
Arizona,1,2024-08-18
Arkansas,0,2024-08-18
California,0,2024-08-18
Colorado,0,2024-08-18
Connecticut,0,2024-08-18
Delaware,0,2024-08-18
Florida,0,2024-08-18
Georgia,0,2024-08-18
Hawaii,0,2024-08-18
Idaho,0,2024-08-18
Illinois,0,2024-08-18
Indiana,0,2024-08-18
Iowa,0,2024-08-18
Kansas,0,2024-08-18
Kentucky,0,2024-08-18
Louisiana,0,2024-08-18
Maine,0,2024-08-18
Maryland,2,2024-08-18
Massachusetts,0,2024-08-18
Michigan,0,2024-08-18
Minnesota,3,2024-08-18
Mississippi,0,2024-08-18
Missouri,0,2024-08-18
Montana,0,2024-08-18
Nebraska,1,2024-08-18
Nevada,0,2024-08-18
New Hampshire,0,2024-08-18
New Jersey,2,2024-08-18
New Mexico,0,2024-08-18
New York,21,2024-08-18
North Carolina,15,2024-08-18
North Dakota,0,2024-08-18
Ohio,1,2024-08-18
Oklahoma,0,2024-08-18
Oregon,0,2024-08-18
Pennsylvania,1,2024-08-18
Rhode Island,0,2024-08-18
South Carolina,1,2024-08-18
