date,sentiment,relevance,source.uri,source.title
2024-08-09,-0.3098,1,independent.co.uk,The Independent
2024-08-09,-0.2078,1,ca.news.yahoo.com,Yahoo
2024-08-09,0.2314,1,dnyuz.com,DNyuz
2024-08-09,-0.1922,1,freebeacon.com,Washington Free Beacon
2024-08-09,-0.0588,13,myrtlebeachonline.com,MyrtleBeachOnline
2024-08-09,-0.0824,1,thebeltwayreport.com,The Beltway Report
2024-08-09,-0.1294,1,dailywire.com,The Daily Wire
2024-08-09,0.2471,1,seekingalpha.com,Seeking Alpha
2024-08-09,-0.0039,1,abc13.com,abc13 News
2024-08-09,-0.2627,1,reaction.life,Reaction
2024-08-09,0.0275,1,conservativeangle.com,Brigitte Gabriel
2024-08-10,0.4824,1,okmagazine.com,RadarOnline
2024-08-10,-0.3333,1,oilprice.com,OilPrice.com
2024-08-10,0.1608,1,yahoo.com,Yahoo
2024-08-10,0.051,1,conservativeangle.com,Brigitte Gabriel
2024-08-10,0.1137,1,conservativeangle.com,Brigitte Gabriel
2024-08-10,0.0275,1,sunjournal.com,Lewiston Sun Journal
2024-08-10,0.0431,1,theblaze.com,TheBlaze
2024-08-10,-0.051,1,yahoo.com,Yahoo
2024-08-10,0.0745,38,uk.news.yahoo.com,Yahoo News UK
2024-08-10,0.1373,1,democraticunderground.com,Democratic Underground
2024-08-10,0.2314,13,legit.ng,Legit.ng - Nigeria news.
2024-08-10,0.1529,1,deseret.com,Deseret News
2024-08-10,0.2,1,dnyuz.com,DNyuz
2024-08-10,0.0353,26,exbulletin.com,ExBulletin
2024-08-10,0.0275,1,centralmaine.com,Kennebec Journal and Morning Sentinel
2024-08-10,0.098,1,freep.com,Detroit Free Press
2024-08-10,0.0118,1,nhgazette.com,The New Hampshire Gazette
2024-08-10,0.2157,1,houstonianonline.com,houstonianonline.com
2024-08-10,0.6157,1,ca.news.yahoo.com,Yahoo
2024-08-10,-0.2157,1,fitsnews.com,FITSNews
2024-08-10,-0.2549,1,ca.news.yahoo.com,Yahoo
2024-08-10,-0.2549,1,yahoo.com,Yahoo
2024-08-10,-0.2549,1,yahoo.com,Yahoo
2024-08-10,0.5922,1,time.com,TIME
2024-08-10,-0.2784,1,independent.co.uk,The Independent
2024-08-10,-0.2235,1,fox4news.com,FOX 4 News Dallas-Fort Worth
2024-08-10,0.0275,1,pressherald.com,Portland Press Herald
2024-08-10,0.2706,1,angrybearblog.com,AngryBear Econ
2024-08-10,-0.0431,1,billboard.com,Billboard
2024-08-10,0.3725,1,outlookindia.com,https://www.outlookindia.com/
2024-08-10,-0.0902,1,app.com.pk,Associated Press Of Pakistan
2024-08-10,0.2157,1,milwaukeecourieronline.com,Milwaukee Courier Weekly Newspaper
2024-08-10,0.0824,1,malone.news,malone.news
2024-08-10,-0.4824,1,1010wcsi.com,1010 WCSI
2024-08-10,0.0353,1,shockya.com,Shockya.com
2024-08-10,0.0118,1,exbulletin.com,ExBulletin
2024-08-10,0.2235,1,breitbart.com,Breitbart
2024-08-10,0.098,1,ringsidenews.com,Ringside News
2024-08-10,-0.3098,1,missoulian.com,missoulian.com
2024-08-10,-0.4824,1,wfin.com,WFIN
2024-08-10,0.1922,1,newsobserver.com,The News&Observer
2024-08-10,0.1922,1,centredaily.com,Centre Daily Times
2024-08-10,0.1529,1,nickiswift.com,NickiSwift.com
2024-08-10,0.1922,1,sacbee.com,The Sacramento Bee
2024-08-10,0.1922,1,miamiherald.com,Miami Herald
2024-08-10,0.1922,1,sanluisobispo.com,The Tribune
2024-08-10,-0.498,1,aol.com,Aol
2024-08-10,0.0353,1,cryptointelligence.co.uk,Crypto Intelligence News
2024-08-10,0.1765,1,coinpedia.org,Coinpedia - Fintech & Cryptocurreny News Media| Crypto Guide
2024-08-10,0.1922,1,myrtlebeachonline.com,MyrtleBeachOnline
2024-08-10,-0.1843,1,politifact.com,Politi Fact
2024-08-10,0.1922,1,fresnobee.com,The Fresno Bee
2024-08-10,-0.1608,1,beincrypto.com,BeInCrypto
2024-08-10,0.302,1,yahoo.com,Yahoo
2024-08-10,0.1373,1,newsweek.com,Newsweek
2024-08-10,0.0039,1,therahnuma.com,therahnuma.com
2024-08-10,0.0824,1,the-sun.com,The US Sun
2024-08-10,0.051,1,hindustantimes.com,Hindustan Times
2024-08-10,0.1608,1,ft.com,Financial Times News
2024-08-10,0.0588,1,expertclick.com,expertclick.com
2024-08-10,0.2863,1,aol.com,Aol
2024-08-10,0.1686,1,finance.yahoo.com,Yahoo! Finance
2024-08-10,0.2078,13,forbes.com,Forbes
2024-08-10,-0.4667,1,dnyuz.com,DNyuz
2024-08-10,-0.4353,1,foxnews.com,Fox News
2024-08-10,-0.0588,1,triblive.com,TribLIVE
2024-08-10,0.2863,1,finance.yahoo.com,Yahoo! Finance
2024-08-10,0.051,1,lusakatimes.com,LusakaTimes.com
2024-08-10,0.0196,1,sherdog.com,Sherdog
2024-08-10,0.2627,1,foreignaffairs.co.nz,foreignaffairs.co.nz
2024-08-10,0.1059,1,coingape.com,Coingape
2024-08-10,0.2706,1,focustaiwan.tw,Focus Taiwan (CNA English News)
2024-08-10,-0.2078,1,crypto.news,crypto.news
2024-08-10,-0.051,1,idahostatesman.com,Idaho Statesman
2024-08-10,-0.1686,1,smirkingchimp.com,The Smirking Chimp
2024-08-10,0.0667,1,dnyuz.com,DNyuz
2024-08-10,0.0667,1,newsweek.com,Newsweek
2024-08-10,0.1059,1,magicvalley.com,Magic Valley
2024-08-10,0.1843,1,newsweek.com,Newsweek
2024-08-10,0.098,1,americanfreepress.net,American Free Press
2024-08-10,0.1373,1,usatoday.com,USA Today
